cca3,flag,flag_png,flag_svg,flag_alt,coa_png,coa_svg
JAM,🇯🇲,https://flagcdn.com/w320/jm.png,https://flagcdn.com/jm.svg,"The flag of Jamaica is divided by a gold diagonal cross into four alternating triangular areas of green at the top and bottom, and black on the hoist and fly sides",https://mainfacts.com/media/images/coats_of_arms/jm.png,https://mainfacts.com/media/images/coats_of_arms/jm.svg
COM,🇰🇲,https://flagcdn.com/w320/km.png,https://flagcdn.com/km.svg,"The flag of Comoros is composed of four equal horizontal bands of yellow, white, red and blue, with a green isosceles triangle superimposed on the hoist side of the field. This triangle has its base on the hoist end, spans about two-fifth the width of the field and bears a fly-side facing white crescent and four five-pointed white stars arranged in a vertical line along the opening of the crescent.",https://mainfacts.com/media/images/coats_of_arms/km.png,https://mainfacts.com/media/images/coats_of_arms/km.svg
ZWE,🇿🇼,https://flagcdn.com/w320/zw.png,https://flagcdn.com/zw.svg,"The flag of Zimbabwe is composed of seven equal horizontal bands of green, yellow, red, black, red, yellow and green, with a white isosceles triangle superimposed on the hoist side of the field. This triangle is edged in black, spans about one-fourth the width of the field and has its base on the hoist end. A yellow Zimbabwe bird superimposed on a five-pointed red star is centered in the triangle.",https://mainfacts.com/media/images/coats_of_arms/zw.png,https://mainfacts.com/media/images/coats_of_arms/zw.svg
SXM,🇸🇽,https://flagcdn.com/w320/sx.png,https://flagcdn.com/sx.svg,,,
LAO,🇱🇦,https://flagcdn.com/w320/la.png,https://flagcdn.com/la.svg,"The flag of Laos is composed of three horizontal bands of red, blue and red. The blue band is twice the height of the red bands and bears a white circle at its center.",https://mainfacts.com/media/images/coats_of_arms/la.png,https://mainfacts.com/media/images/coats_of_arms/la.svg
LVA,🇱🇻,https://flagcdn.com/w320/lv.png,https://flagcdn.com/lv.svg,The flag of Latvia has a carmine-red field with a thin white horizontal band across the middle of the field.,https://mainfacts.com/media/images/coats_of_arms/lv.png,https://mainfacts.com/media/images/coats_of_arms/lv.svg
TJK,🇹🇯,https://flagcdn.com/w320/tj.png,https://flagcdn.com/tj.svg,"The flag of Tajikistan is composed of three horizontal bands of red, white and green in the ratio of 2:3:2. A golden-yellow crown surmounted by an arc of seven five-pointed golden-yellow stars is centered in the white band.",https://mainfacts.com/media/images/coats_of_arms/tj.png,https://mainfacts.com/media/images/coats_of_arms/tj.svg
GBR,🇬🇧,https://flagcdn.com/w320/gb.png,https://flagcdn.com/gb.svg,The flag of the United Kingdom — the Union Jack — has a blue field. It features the white-edged red cross of Saint George superimposed on the diagonal red cross of Saint Patrick which is superimposed on the diagonal white cross of Saint Andrew.,https://mainfacts.com/media/images/coats_of_arms/gb.png,https://mainfacts.com/media/images/coats_of_arms/gb.svg
NIC,🇳🇮,https://flagcdn.com/w320/ni.png,https://flagcdn.com/ni.svg,"The flag of Nicaragua is composed of three equal horizontal bands of blue, white and blue, with the national coat of arms centered in the white band.",https://mainfacts.com/media/images/coats_of_arms/ni.png,https://mainfacts.com/media/images/coats_of_arms/ni.svg
SDN,🇸🇩,https://flagcdn.com/w320/sd.png,https://flagcdn.com/sd.svg,"The flag of Sudan is composed of three equal horizontal bands of red, white and black, with a green isosceles triangle superimposed on the hoist side. The green triangle spans about two-fifth the width of the field with its base on the hoist end.",https://mainfacts.com/media/images/coats_of_arms/sd.png,https://mainfacts.com/media/images/coats_of_arms/sd.svg
GRC,🇬🇷,https://flagcdn.com/w320/gr.png,https://flagcdn.com/gr.svg,The flag of Greece is composed of nine equal horizontal bands of blue alternating with white. A blue square bearing a white cross is superimposed in the canton.,https://mainfacts.com/media/images/coats_of_arms/gr.png,https://mainfacts.com/media/images/coats_of_arms/gr.svg
LTU,🇱🇹,https://flagcdn.com/w320/lt.png,https://flagcdn.com/lt.svg,"The flag of Lithuania is composed of three equal horizontal bands of yellow, green and red.",https://mainfacts.com/media/images/coats_of_arms/lt.png,https://mainfacts.com/media/images/coats_of_arms/lt.svg
RWA,🇷🇼,https://flagcdn.com/w320/rw.png,https://flagcdn.com/rw.svg,"The flag of Rwanda is composed of three horizontal bands of light blue, yellow and green. The light blue band is twice the height of the other two bands and bears a yellow sun with twenty-four rays on its fly side.",https://mainfacts.com/media/images/coats_of_arms/rw.png,https://mainfacts.com/media/images/coats_of_arms/rw.svg
SEN,🇸🇳,https://flagcdn.com/w320/sn.png,https://flagcdn.com/sn.svg,"The flag of Senegal is composed of three equal vertical bands of green, golden-yellow and red, with a five-pointed green star centered in the golden-yellow band.",https://mainfacts.com/media/images/coats_of_arms/sn.png,https://mainfacts.com/media/images/coats_of_arms/sn.svg
MCO,🇲🇨,https://flagcdn.com/w320/mc.png,https://flagcdn.com/mc.svg,The flag of Monaco is composed of two equal horizontal bands of red and white.,https://mainfacts.com/media/images/coats_of_arms/mc.png,https://mainfacts.com/media/images/coats_of_arms/mc.svg
LSO,🇱🇸,https://flagcdn.com/w320/ls.png,https://flagcdn.com/ls.svg,"The flag of Lesotho is composed of three horizontal bands of blue, white and green in the ratio of 3:4:3. A black mokorotlo — a Basotho hat — is centered in the white band.",https://mainfacts.com/media/images/coats_of_arms/ls.png,https://mainfacts.com/media/images/coats_of_arms/ls.svg
TUN,🇹🇳,https://flagcdn.com/w320/tn.png,https://flagcdn.com/tn.svg,The flag of Tunisia has a red field. A white circle bearing a five-pointed red star within a fly-side facing red crescent is situated at the center of the field.,https://mainfacts.com/media/images/coats_of_arms/tn.png,https://mainfacts.com/media/images/coats_of_arms/tn.svg
VUT,🇻🇺,https://flagcdn.com/w320/vu.png,https://flagcdn.com/vu.svg,"The flag of Vanuatu is composed of two equal horizontal bands of red and green, with a black isosceles triangle superimposed on the hoist side of the field. This triangle has its base on the hoist end, spans about two-fifth the width of the field and is enclosed on its sides by the arms of a thin black-edged yellow horizontally oriented Y-shaped band which extends along the boundary of the red and green bands to the fly end of the field. A yellow boar's tusk encircling two yellow crossed namele leaves is centered in the triangle.",https://mainfacts.com/media/images/coats_of_arms/vu.png,https://mainfacts.com/media/images/coats_of_arms/vu.svg
ECU,🇪🇨,https://flagcdn.com/w320/ec.png,https://flagcdn.com/ec.svg,"The flag of Ecuador is composed of the horizontal bands of yellow, blue and red, with the yellow band twice the height of the other two bands. The Ecuadorian coat of arms is superimposed in the center of the field.",https://mainfacts.com/media/images/coats_of_arms/ec.png,https://mainfacts.com/media/images/coats_of_arms/ec.svg
KWT,🇰🇼,https://flagcdn.com/w320/kw.png,https://flagcdn.com/kw.svg,"The flag of Kuwait is composed of three equal horizontal bands of green, white and red, with a black trapezium superimposed on the hoist side of the field. This trapezium has its base on the hoist end and spans about one-fourth the width of the field.",https://mainfacts.com/media/images/coats_of_arms/kw.png,https://mainfacts.com/media/images/coats_of_arms/kw.svg
PHL,🇵🇭,https://flagcdn.com/w320/ph.png,https://flagcdn.com/ph.svg,"The flag of Philippines is composed of two equal horizontal bands of blue and red, with a white equilateral triangle superimposed on the hoist side of the field. This triangle has its base on the hoist end, spans about two-fifth the width of the field and bears a central golden-yellow sun with eight rays and a five-pointed golden-yellow star at each vertex.",https://mainfacts.com/media/images/coats_of_arms/ph.png,https://mainfacts.com/media/images/coats_of_arms/ph.svg
CHL,🇨🇱,https://flagcdn.com/w320/cl.png,https://flagcdn.com/cl.svg,"The flag of Chile is composed of two equal horizontal bands of white and red, with a blue square of the same height as the white band superimposed in the canton. A white five-pointed star is centered in the blue square.",https://mainfacts.com/media/images/coats_of_arms/cl.png,https://mainfacts.com/media/images/coats_of_arms/cl.svg
BHS,🇧🇸,https://flagcdn.com/w320/bs.png,https://flagcdn.com/bs.svg,"The flag of the Bahamas is composed of three equal horizontal bands of aquamarine, yellow and aquamarine, with a black equilateral triangle superimposed on the hoist side of the field. This triangle has its base on the hoist end and spans about one-third the width of the field.",https://mainfacts.com/media/images/coats_of_arms/bs.png,https://mainfacts.com/media/images/coats_of_arms/bs.svg
TZA,🇹🇿,https://flagcdn.com/w320/tz.png,https://flagcdn.com/tz.svg,The flag of Tanzania features a yellow-edged black diagonal band that extends from the lower hoist-side corner to the upper fly-side corner of the field. Above and beneath this band are a green and light blue triangle respectively.,https://mainfacts.com/media/images/coats_of_arms/tz.png,https://mainfacts.com/media/images/coats_of_arms/tz.svg
CRI,🇨🇷,https://flagcdn.com/w320/cr.png,https://flagcdn.com/cr.svg,"The flag of Costa Rica is composed of five horizontal bands of blue, white, red, white and blue. The central red band is twice the height of the other four bands.",https://mainfacts.com/media/images/coats_of_arms/cr.png,https://mainfacts.com/media/images/coats_of_arms/cr.svg
MAR,🇲🇦,https://flagcdn.com/w320/ma.png,https://flagcdn.com/ma.svg,The flag of Morocco features a green pentagram — a five-pointed linear star — centered on a red field.,https://mainfacts.com/media/images/coats_of_arms/ma.png,https://mainfacts.com/media/images/coats_of_arms/ma.svg
MNE,🇲🇪,https://flagcdn.com/w320/me.png,https://flagcdn.com/me.svg,The flag of Montenegro features a large red central rectangular area surrounded by a golden-yellow border. The coat of arms of Montenegro is centered in the red rectangle.,https://mainfacts.com/media/images/coats_of_arms/me.png,https://mainfacts.com/media/images/coats_of_arms/me.svg
FSM,🇫🇲,https://flagcdn.com/w320/fm.png,https://flagcdn.com/fm.svg,"The flag of Micronesia has a light blue field, at the center of which are four five-pointed white stars arranged in the shape of a diamond.",https://mainfacts.com/media/images/coats_of_arms/fm.png,https://mainfacts.com/media/images/coats_of_arms/fm.svg
PRT,🇵🇹,https://flagcdn.com/w320/pt.png,https://flagcdn.com/pt.svg,"The flag of Portugal is composed of two vertical bands of green and red in the ratio of 2:3, with the coat of arms of Portugal centered over the two-color boundary.",https://mainfacts.com/media/images/coats_of_arms/pt.png,https://mainfacts.com/media/images/coats_of_arms/pt.svg
ARE,🇦🇪,https://flagcdn.com/w320/ae.png,https://flagcdn.com/ae.svg,"The flag of United Arab Emirates features a red vertical band on its hoist side that takes up about one-fourth the width of the field and three equal horizontal bands of green, white and black adjoining the vertical band.",https://mainfacts.com/media/images/coats_of_arms/ae.png,https://mainfacts.com/media/images/coats_of_arms/ae.svg
LBY,🇱🇾,https://flagcdn.com/w320/ly.png,https://flagcdn.com/ly.svg,"The flag of Libya is composed of three horizontal bands of red, black and green, with the black band twice the height of the other two bands. At the center of the black band is a fly-side facing white crescent and a five-pointed white star placed just outside the crescent opening.",https://mainfacts.com/media/images/coats_of_arms/ly.png,https://mainfacts.com/media/images/coats_of_arms/ly.svg
LUX,🇱🇺,https://flagcdn.com/w320/lu.png,https://flagcdn.com/lu.svg,"The flag of Luxembourg is composed of three equal horizontal bands of red, white and light blue.",https://mainfacts.com/media/images/coats_of_arms/lu.png,https://mainfacts.com/media/images/coats_of_arms/lu.svg
JEY,🇯🇪,https://flagcdn.com/w320/je.png,https://flagcdn.com/je.svg,,https://mainfacts.com/media/images/coats_of_arms/je.png,https://mainfacts.com/media/images/coats_of_arms/je.svg
SLB,🇸🇧,https://flagcdn.com/w320/sb.png,https://flagcdn.com/sb.svg,The flag of Solomon Islands features a thin yellow diagonal band that extends from the lower hoist-side corner to the upper fly-side corner of the field. Above and beneath this band are a blue and green triangle respectively. Five white five-pointed stars arranged in an X shape are situated on the hoist side of the upper blue triangle.,https://mainfacts.com/media/images/coats_of_arms/sb.png,https://mainfacts.com/media/images/coats_of_arms/sb.svg
DZA,🇩🇿,https://flagcdn.com/w320/dz.png,https://flagcdn.com/dz.svg,The flag of Algeria features two equal vertical bands of green and white. A five-pointed red star within a fly-side facing red crescent is centered over the two-color boundary.,https://mainfacts.com/media/images/coats_of_arms/dz.png,https://mainfacts.com/media/images/coats_of_arms/dz.svg
ATG,🇦🇬,https://flagcdn.com/w320/ag.png,https://flagcdn.com/ag.svg,"The flag of Antigua and Barbuda has a red field with an inverted isosceles triangle based on the top edge and spanning the height of the field. This triangle has three horizontal bands of black, light blue and white, with the light blue band half the height of the two other bands. The top half of a golden-yellow sun is situated in the lower two-third of the black band to depict a rising sun.",https://mainfacts.com/media/images/coats_of_arms/ag.png,https://mainfacts.com/media/images/coats_of_arms/ag.svg
SHN,🇸🇭,https://flagcdn.com/w320/sh.png,https://flagcdn.com/sh.svg,,,
BRA,🇧🇷,https://flagcdn.com/w320/br.png,https://flagcdn.com/br.svg,The flag of Brazil has a green field with a large yellow rhombus in the center. Within the rhombus is a dark blue globe with twenty-seven small five-pointed white stars depicting a starry sky and a thin white convex horizontal band inscribed with the national motto 'Ordem e Progresso' across its center.,https://mainfacts.com/media/images/coats_of_arms/br.png,https://mainfacts.com/media/images/coats_of_arms/br.svg
SGS,🇬🇸,https://flagcdn.com/w320/gs.png,https://flagcdn.com/gs.svg,,,
MLI,🇲🇱,https://flagcdn.com/w320/ml.png,https://flagcdn.com/ml.svg,"The flag of Mali is composed of three equal vertical bands of green, yellow and red.",https://mainfacts.com/media/images/coats_of_arms/ml.png,https://mainfacts.com/media/images/coats_of_arms/ml.svg
PAK,🇵🇰,https://flagcdn.com/w320/pk.png,https://flagcdn.com/pk.svg,The flag of Pakistan is composed of a white vertical band on its hoist side that takes up about one-fourth the width of the field and a dark green rectangular area that spans the rest of the field. A white fly-side facing crescent and five-pointed star are centered in the dark green area.,https://mainfacts.com/media/images/coats_of_arms/pk.png,https://mainfacts.com/media/images/coats_of_arms/pk.svg
TTO,🇹🇹,https://flagcdn.com/w320/tt.png,https://flagcdn.com/tt.svg,The flag of Trinidad and Tobago has a red field with a white-edged black diagonal band that extends from the upper hoist-side corner to the lower fly-side corner of the field.,https://mainfacts.com/media/images/coats_of_arms/tt.png,https://mainfacts.com/media/images/coats_of_arms/tt.svg
ARM,🇦🇲,https://flagcdn.com/w320/am.png,https://flagcdn.com/am.svg,"The flag of Armenia is composed of three equal horizontal bands of red, blue and orange.",https://mainfacts.com/media/images/coats_of_arms/am.png,https://mainfacts.com/media/images/coats_of_arms/am.svg
BGD,🇧🇩,https://flagcdn.com/w320/bd.png,https://flagcdn.com/bd.svg,The flag of Bangladesh has a dark green field bearing a large red circle that is offset slightly towards the hoist side of center.,https://mainfacts.com/media/images/coats_of_arms/bd.png,https://mainfacts.com/media/images/coats_of_arms/bd.svg
TCA,🇹🇨,https://flagcdn.com/w320/tc.png,https://flagcdn.com/tc.svg,,,
TKM,🇹🇲,https://flagcdn.com/w320/tm.png,https://flagcdn.com/tm.svg,"The flag of Turkmenistan has a green field. It features a red vertical band, bearing five carpet guls stacked above two crossed olive branches, near the hoist end of the field. Just to the fly side of the vertical band near the top edge of the field is a hoist-side facing white crescent and five small five-pointed white stars placed just outside the crescent opening.",https://mainfacts.com/media/images/coats_of_arms/tm.png,https://mainfacts.com/media/images/coats_of_arms/tm.svg
FRO,🇫🇴,https://flagcdn.com/w320/fo.png,https://flagcdn.com/fo.svg,,https://mainfacts.com/media/images/coats_of_arms/fo.png,https://mainfacts.com/media/images/coats_of_arms/fo.svg
PLW,🇵🇼,https://flagcdn.com/w320/pw.png,https://flagcdn.com/pw.svg,The flag of Palau has a light blue field with a large golden-yellow circle that is offset slightly towards the hoist side of center.,https://mainfacts.com/media/images/coats_of_arms/pw.png,https://mainfacts.com/media/images/coats_of_arms/pw.svg
CUB,🇨🇺,https://flagcdn.com/w320/cu.png,https://flagcdn.com/cu.svg,"The flag of Cuba is composed of five equal horizontal bands of blue alternating with white and a red equilateral triangle superimposed on the hoist side of the field. The triangle has its base on the hoist end, spans about two-fifth the width of the field and bears a white five-pointed star at its center.",https://mainfacts.com/media/images/coats_of_arms/cu.png,https://mainfacts.com/media/images/coats_of_arms/cu.svg
TCD,🇹🇩,https://flagcdn.com/w320/td.png,https://flagcdn.com/td.svg,"The flag of Chad is composed of three equal vertical bands of blue, gold and red.",https://mainfacts.com/media/images/coats_of_arms/td.png,https://mainfacts.com/media/images/coats_of_arms/td.svg
BIH,🇧🇦,https://flagcdn.com/w320/ba.png,https://flagcdn.com/ba.svg,"The flag of Bosnia and Herzegovina has a blue field, at the center of which is a large yellow hoist-side facing right-angled triangle that is based on the top edge and spans the height of the field. Adjacent to the hypotenuse of this triangle are nine adjoining five-pointed white stars with the top and bottom stars cut in half by the edges of the field.",https://mainfacts.com/media/images/coats_of_arms/ba.png,https://mainfacts.com/media/images/coats_of_arms/ba.svg
BWA,🇧🇼,https://flagcdn.com/w320/bw.png,https://flagcdn.com/bw.svg,The flag of Botswana has a light blue field with a white-edged black horizontal band across its center.,https://mainfacts.com/media/images/coats_of_arms/bw.png,https://mainfacts.com/media/images/coats_of_arms/bw.svg
EST,🇪🇪,https://flagcdn.com/w320/ee.png,https://flagcdn.com/ee.svg,"The flag of Estonia is composed of three equal horizontal bands of blue, black and white.",https://mainfacts.com/media/images/coats_of_arms/ee.png,https://mainfacts.com/media/images/coats_of_arms/ee.svg
IOT,🇮🇴,https://flagcdn.com/w320/io.png,https://flagcdn.com/io.svg,,,
ATF,🇹🇫,https://flagcdn.com/w320/tf.png,https://flagcdn.com/tf.svg,,https://mainfacts.com/media/images/coats_of_arms/tf.png,https://mainfacts.com/media/images/coats_of_arms/tf.svg
GRL,🇬🇱,https://flagcdn.com/w320/gl.png,https://flagcdn.com/gl.svg,,https://mainfacts.com/media/images/coats_of_arms/gl.png,https://mainfacts.com/media/images/coats_of_arms/gl.svg
CXR,🇨🇽,https://flagcdn.com/w320/cx.png,https://flagcdn.com/cx.svg,,https://mainfacts.com/media/images/coats_of_arms/cx.png,https://mainfacts.com/media/images/coats_of_arms/cx.svg
PCN,🇵🇳,https://flagcdn.com/w320/pn.png,https://flagcdn.com/pn.svg,,,
ESH,🇪🇭,https://flagcdn.com/w320/eh.png,https://flagcdn.com/eh.svg,,,
MSR,🇲🇸,https://flagcdn.com/w320/ms.png,https://flagcdn.com/ms.svg,,https://mainfacts.com/media/images/coats_of_arms/ms.png,https://mainfacts.com/media/images/coats_of_arms/ms.svg
BHR,🇧🇭,https://flagcdn.com/w320/bh.png,https://flagcdn.com/bh.svg,"The flag of Bahrain has a red field. On the hoist side, it features a white vertical band that spans about one-third the width of the field and is separated from the rest of the field by five adjoining fly-side pointing white isosceles triangles that serve as a serrated line.",https://mainfacts.com/media/images/coats_of_arms/bh.png,https://mainfacts.com/media/images/coats_of_arms/bh.svg
DOM,🇩🇴,https://flagcdn.com/w320/do.png,https://flagcdn.com/do.svg,The flag of the Dominican Republic is divided into four rectangles by a centered white cross that extends to the edges of the field and bears the national coat of arms in its center. The upper hoist-side and lower fly-side rectangles are blue and the lower hoist-side and upper fly-side rectangles are red.,https://mainfacts.com/media/images/coats_of_arms/do.png,https://mainfacts.com/media/images/coats_of_arms/do.svg
USA,🇺🇸,https://flagcdn.com/w320/us.png,https://flagcdn.com/us.svg,"The flag of the United States of America is composed of thirteen equal horizontal bands of red alternating with white. A blue rectangle, bearing fifty small five-pointed white stars arranged in nine rows where rows of six stars alternate with rows of five stars, is superimposed in the canton.",https://mainfacts.com/media/images/coats_of_arms/us.png,https://mainfacts.com/media/images/coats_of_arms/us.svg
COK,🇨🇰,https://flagcdn.com/w320/ck.png,https://flagcdn.com/ck.svg,,https://mainfacts.com/media/images/coats_of_arms/ck.png,https://mainfacts.com/media/images/coats_of_arms/ck.svg
COL,🇨🇴,https://flagcdn.com/w320/co.png,https://flagcdn.com/co.svg,"The flag of Colombia is composed of three horizontal bands of yellow, blue and red, with the yellow band twice the height of the other two bands.",https://mainfacts.com/media/images/coats_of_arms/co.png,https://mainfacts.com/media/images/coats_of_arms/co.svg
GIN,🇬🇳,https://flagcdn.com/w320/gn.png,https://flagcdn.com/gn.svg,"The flag of Guinea is composed of three equal vertical bands of red, yellow and green.",https://mainfacts.com/media/images/coats_of_arms/gn.png,https://mainfacts.com/media/images/coats_of_arms/gn.svg
IRL,🇮🇪,https://flagcdn.com/w320/ie.png,https://flagcdn.com/ie.svg,"The flag of Ireland is composed of three equal vertical bands of green, white and orange.",https://mainfacts.com/media/images/coats_of_arms/ie.png,https://mainfacts.com/media/images/coats_of_arms/ie.svg
MDV,🇲🇻,https://flagcdn.com/w320/mv.png,https://flagcdn.com/mv.svg,"The flag of Maldives has a red field, at the center of which is a large green rectangle bearing a fly-side facing white crescent.",https://mainfacts.com/media/images/coats_of_arms/mv.png,https://mainfacts.com/media/images/coats_of_arms/mv.svg
PAN,🇵🇦,https://flagcdn.com/w320/pa.png,https://flagcdn.com/pa.svg,"The flag of Panama is composed of four equal rectangular areas — a white rectangular area with a blue five-pointed star at its center, a red rectangular area, a white rectangular area with a red five-pointed star at its center, and a blue rectangular area — in the upper hoist side, upper fly side, lower fly side and lower hoist side respectively.",https://mainfacts.com/media/images/coats_of_arms/pa.png,https://mainfacts.com/media/images/coats_of_arms/pa.svg
MOZ,🇲🇿,https://flagcdn.com/w320/mz.png,https://flagcdn.com/mz.svg,"The flag of Mozambique is composed of three equal horizontal bands of teal, black with white top and bottom edges, and yellow. A red isosceles triangle spanning about two-fifth the width of the field is superimposed on the hoist side with its base on the hoist end. This triangle bears a crossed rifle and hoe in black superimposed on an open white book which is superimposed on a five-pointed yellow star.",https://mainfacts.com/media/images/coats_of_arms/mz.png,https://mainfacts.com/media/images/coats_of_arms/mz.svg
OMN,🇴🇲,https://flagcdn.com/w320/om.png,https://flagcdn.com/om.svg,"The flag of Oman features a red vertical band on the hoist side that takes up about one-fourth the width of the field, and three equal horizontal bands of white, red and green adjoining the vertical band. At the top of the vertical band is the white emblem of Oman.",https://mainfacts.com/media/images/coats_of_arms/om.png,https://mainfacts.com/media/images/coats_of_arms/om.svg
CZE,🇨🇿,https://flagcdn.com/w320/cz.png,https://flagcdn.com/cz.svg,"The flag of Czechia is composed of two equal horizontal bands of white and red, with a blue isosceles triangle superimposed on the hoist side of the field. The triangle has its base on the hoist end and spans about two-fifth the width of the field.",https://mainfacts.com/media/images/coats_of_arms/cz.png,https://mainfacts.com/media/images/coats_of_arms/cz.svg
HMD,🇭🇲,https://flagcdn.com/w320/hm.png,https://flagcdn.com/hm.svg,,,
VCT,🇻🇨,https://flagcdn.com/w320/vc.png,https://flagcdn.com/vc.svg,"The flag of Saint Vincent and the Grenadines is composed of three vertical bands of blue, gold and green. The gold band is twice as wide as the other two bands and bears three green diamonds arranged to form the letter V at its center.",https://mainfacts.com/media/images/coats_of_arms/vc.png,https://mainfacts.com/media/images/coats_of_arms/vc.svg
HTI,🇭🇹,https://flagcdn.com/w320/ht.png,https://flagcdn.com/ht.svg,The flag of Haiti is composed of two equal horizontal bands of blue and red. A white square bearing the national coat of arms is superimposed at the center of the field.,https://mainfacts.com/media/images/coats_of_arms/ht.png,https://mainfacts.com/media/images/coats_of_arms/ht.svg
NGA,🇳🇬,https://flagcdn.com/w320/ng.png,https://flagcdn.com/ng.svg,"The flag of Nigeria is composed of three equal vertical bands of green, white and green.",https://mainfacts.com/media/images/coats_of_arms/ng.png,https://mainfacts.com/media/images/coats_of_arms/ng.svg
VGB,🇻🇬,https://flagcdn.com/w320/vg.png,https://flagcdn.com/vg.svg,,https://mainfacts.com/media/images/coats_of_arms/vg.png,https://mainfacts.com/media/images/coats_of_arms/vg.svg
NAM,🇳🇦,https://flagcdn.com/w320/na.png,https://flagcdn.com/na.svg,The flag of Namibia features a white-edged red diagonal band that extends from the lower hoist-side corner to the upper fly-side corner of the field. Above and beneath this band are a blue and green triangle respectively. A gold sun with twelve triangular rays is situated on the hoist side of the upper triangle.,https://mainfacts.com/media/images/coats_of_arms/na.png,https://mainfacts.com/media/images/coats_of_arms/na.svg
DMA,🇩🇲,https://flagcdn.com/w320/dm.png,https://flagcdn.com/dm.svg,"The flag of Dominica has a green field with a large centered tricolor cross. The vertical and horizontal parts of the cross each comprise three bands of yellow, black and white. A red circle, bearing a hoist-side facing purple Sisserou parrot standing on a twig and encircled by ten five-pointed yellow-edged green stars, is superimposed at the center of the cross.",https://mainfacts.com/media/images/coats_of_arms/dm.png,https://mainfacts.com/media/images/coats_of_arms/dm.svg
