id_country,id_language,language_name
JAM,eng,English
JAM,jam,Jamaican Patois
COM,ara,Arabic
COM,fra,French
COM,zdj,Comorian
ZWE,bwg,Chibarwe
ZWE,eng,English
ZWE,kck,Kalanga
ZWE,khi,Khoisan
ZWE,ndc,Ndau
ZWE,nde,Northern Ndebele
ZWE,nya,Chewa
ZWE,sna,Shona
ZWE,sot,Sotho
ZWE,toi,Tonga
ZWE,tsn,Tswana
ZWE,tso,Tsonga
ZWE,ven,Venda
ZWE,xho,Xhosa
ZWE,zib,Zimbabwean Sign Language
SXM,eng,English
SXM,fra,French
SXM,nld,Dutch
LAO,lao,Lao
LVA,lav,Latvian
TJK,rus,Russian
TJK,tgk,Tajik
GBR,eng,English
NIC,spa,Spanish
SDN,ara,Arabic
SDN,eng,English
GRC,ell,Greek
LTU,lit,Lithuanian
RWA,eng,English
RWA,fra,French
RWA,kin,Kinyarwanda
SEN,fra,French
MCO,fra,French
LSO,eng,English
LSO,sot,Sotho
TUN,ara,Arabic
VUT,bis,Bislama
VUT,eng,English
VUT,fra,French
ECU,spa,Spanish
KWT,ara,Arabic
PHL,eng,English
PHL,fil,Filipino
CHL,spa,Spanish
BHS,eng,English
TZA,eng,English
TZA,swa,Swahili
CRI,spa,Spanish
MAR,ara,Arabic
MAR,ber,Berber
MNE,cnr,Montenegrin
FSM,eng,English
PRT,por,Portuguese
ARE,ara,Arabic
LBY,ara,Arabic
LUX,deu,German
LUX,fra,French
LUX,ltz,Luxembourgish
JEY,eng,English
JEY,fra,French
JEY,nrf,Jèrriais
SLB,eng,English
DZA,ara,Arabic
ATG,eng,English
SHN,eng,English
BRA,por,Portuguese
SGS,eng,English
MLI,fra,French
PAK,eng,English
PAK,urd,Urdu
TTO,eng,English
ARM,hye,Armenian
BGD,ben,Bengali
TCA,eng,English
TKM,rus,Russian
TKM,tuk,Turkmen
FRO,dan,Danish
FRO,fao,Faroese
PLW,eng,English
PLW,pau,Palauan
CUB,spa,Spanish
TCD,ara,Arabic
TCD,fra,French
BIH,bos,Bosnian
BIH,hrv,Croatian
BIH,srp,Serbian
BWA,eng,English
BWA,tsn,Tswana
EST,est,Estonian
IOT,eng,English
ATF,fra,French
GRL,kal,Greenlandic
CXR,eng,English
PCN,eng,English
ESH,ber,Berber
ESH,mey,Hassaniya
ESH,spa,Spanish
MSR,eng,English
BHR,ara,Arabic
DOM,spa,Spanish
USA,eng,English
COK,eng,English
COK,rar,Cook Islands Māori
COL,spa,Spanish
GIN,fra,French
IRL,eng,English
IRL,gle,Irish
MDV,div,Maldivian
PAN,spa,Spanish
MOZ,por,Portuguese
OMN,ara,Arabic
CZE,ces,Czech
CZE,slk,Slovak
HMD,eng,English
VCT,eng,English
HTI,fra,French
HTI,hat,Haitian Creole
NGA,eng,English
VGB,eng,English
NAM,afr,Afrikaans
NAM,deu,German
NAM,eng,English
NAM,her,Herero
NAM,hgm,Khoekhoe
NAM,kwn,Kwangali
NAM,loz,Lozi
NAM,ndo,Ndonga
NAM,tsn,Tswana
DMA,eng,English
CAN,eng,English
CAN,fra,French
GGY,eng,English
GGY,fra,French
GGY,nfr,Guernésiais
NER,fra,French
IDN,ind,Indonesian
YEM,ara,Arabic
PSE,ara,Arabic
GAB,fra,French
ERI,ara,Arabic
ERI,eng,English
ERI,tir,Tigrinya
CYP,ell,Greek
CYP,tur,Turkish
HKG,eng,English
HKG,zho,Chinese
BVT,nor,Norwegian
SVK,slk,Slovak
SVN,slv,Slovene
NIU,eng,English
NIU,niu,Niuean
KIR,eng,English
KIR,gil,Gilbertese
DEU,deu,German
UNK,sqi,Albanian
UNK,srp,Serbian
CIV,fra,French
LKA,sin,Sinhala
LKA,tam,Tamil
MAF,fra,French
BEL,deu,German
BEL,fra,French
BEL,nld,Dutch
ISR,ara,Arabic
ISR,heb,Hebrew
ALA,swe,Swedish
MNP,cal,Carolinian
MNP,cha,Chamorro
MNP,eng,English
DNK,dan,Danish
BMU,eng,English
GIB,eng,English
SYR,ara,Arabic
TLS,por,Portuguese
TLS,tet,Tetum
SMR,ita,Italian
GMB,eng,English
PER,aym,Aymara
PER,que,Quechua
PER,spa,Spanish
GNB,por,Portuguese
GNB,pov,Upper Guinea Creole
SLE,eng,English
TUR,tur,Turkish
BOL,aym,Aymara
BOL,grn,Guaraní
BOL,que,Quechua
BOL,spa,Spanish
NOR,nno,Norwegian Nynorsk
NOR,nob,Norwegian Bokmål
NOR,smi,Sami
COG,fra,French
COG,kon,Kikongo
COG,lin,Lingala
SWZ,eng,English
SWZ,ssw,Swazi
PRY,grn,Guaraní
PRY,spa,Spanish
UKR,ukr,Ukrainian
MYS,eng,English
MYS,msa,Malay
TON,eng,English
TON,ton,Tongan
BEN,fra,French
SWE,swe,Swedish
TUV,eng,English
TUV,tvl,Tuvaluan
MNG,mon,Mongolian
ZAF,afr,Afrikaans
ZAF,eng,English
ZAF,nbl,Southern Ndebele
ZAF,nso,Northern Sotho
ZAF,sot,Southern Sotho
ZAF,ssw,Swazi
ZAF,tsn,Tswana
ZAF,tso,Tsonga
ZAF,ven,Venda
ZAF,xho,Xhosa
ZAF,zul,Zulu
CUW,eng,English
CUW,nld,Dutch
CUW,pap,Papiamento
AUS,eng,English
KNA,eng,English
GHA,eng,English
IRQ,ara,Arabic
IRQ,arc,Aramaic
IRQ,ckb,Sorani
VNM,vie,Vietnamese
GUY,eng,English
AZE,aze,Azerbaijani
CMR,eng,English
CMR,fra,French
EGY,ara,Arabic
ISL,isl,Icelandic
VEN,spa,Spanish
BRB,eng,English
FLK,eng,English
MWI,eng,English
MWI,nya,Chewa
KGZ,kir,Kyrgyz
KGZ,rus,Russian
TWN,zho,Chinese
BGR,bul,Bulgarian
PRK,kor,Korean
AND,cat,Catalan
AGO,por,Portuguese
BLM,fra,French
RUS,rus,Russian
BFA,fra,French
VAT,ita,Italian
VAT,lat,Latin
IMN,eng,English
IMN,glv,Manx
AFG,prs,Dari
AFG,pus,Pashto
AFG,tuk,Turkmen
HRV,hrv,Croatian
BTN,dzo,Dzongkha
BLR,bel,Belarusian
BLR,rus,Russian
CCK,eng,English
NZL,eng,English
NZL,mri,Māori
NZL,nzs,New Zealand Sign Language
MDG,fra,French
MDG,mlg,Malagasy
THA,tha,Thai
GEO,kat,Georgian
IND,eng,English
IND,hin,Hindi
IND,tam,Tamil
CHN,zho,Chinese
SPM,fra,French
PRI,eng,English
PRI,spa,Spanish
DJI,ara,Arabic
DJI,fra,French
SAU,ara,Arabic
IRN,fas,Persian (Farsi)
ZMB,eng,English
ETH,amh,Amharic
MAC,por,Portuguese
MAC,zho,Chinese
GTM,spa,Spanish
MTQ,fra,French
SUR,nld,Dutch
URY,spa,Spanish
ITA,ita,Italian
ITA,cat,Catalan
NCL,fra,French
FJI,eng,English
FJI,fij,Fijian
FJI,hif,Fiji Hindi
ABW,nld,Dutch
ABW,pap,Papiamento
STP,por,Portuguese
CHE,fra,French
CHE,gsw,Swiss German
CHE,ita,Italian
CHE,roh,Romansh
COD,fra,French
COD,kon,Kikongo
COD,lin,Lingala
COD,lua,Tshiluba
COD,swa,Swahili
FIN,fin,Finnish
FIN,swe,Swedish
MLT,eng,English
MLT,mlt,Maltese
SLV,spa,Spanish
JOR,ara,Arabic
TKL,eng,English
TKL,smo,Samoan
TKL,tkl,Tokelauan
NRU,eng,English
NRU,nau,Nauru
POL,pol,Polish
MRT,ara,Arabic
WLF,fra,French
GUM,cha,Chamorro
GUM,eng,English
GUM,spa,Spanish
MKD,mkd,Macedonian
TGO,fra,French
MMR,mya,Burmese
QAT,ara,Arabic
FRA,fra,French
MYT,fra,French
NFK,eng,English
NFK,pih,Norfuk
SYC,crs,Seychellois Creole
SYC,eng,English
SYC,fra,French
MDA,ron,Romanian
SSD,eng,English
BRN,msa,Malay
JPN,jpn,Japanese
GRD,eng,English
ESP,spa,Spanish
ESP,cat,Catalan
ESP,eus,Basque
ESP,glc,Galician
BES,eng,English
BES,nld,Dutch
BES,pap,Papiamento
PNG,eng,English
PNG,hmo,Hiri Motu
PNG,tpi,Tok Pisin
UZB,rus,Russian
UZB,uzb,Uzbek
ARG,grn,Guaraní
ARG,spa,Spanish
KOR,kor,Korean
BLZ,bjz,Belizean Creole
BLZ,eng,English
BLZ,spa,Spanish
REU,fra,French
MEX,spa,Spanish
VIR,eng,English
SRB,srp,Serbian
UMI,eng,English
CPV,por,Portuguese
KHM,khm,Khmer
ROU,ron,Romanian
HUN,hun,Hungarian
MHL,eng,English
MHL,mah,Marshallese
SOM,ara,Arabic
SOM,som,Somali
ALB,sqi,Albanian
PYF,fra,French
BDI,fra,French
BDI,run,Kirundi
CAF,fra,French
CAF,sag,Sango
GUF,fra,French
ASM,eng,English
ASM,smo,Samoan
LCA,eng,English
UGA,eng,English
UGA,swa,Swahili
HND,spa,Spanish
KAZ,kaz,Kazakh
KAZ,rus,Russian
KEN,eng,English
KEN,swa,Swahili
WSM,eng,English
WSM,smo,Samoan
NPL,nep,Nepali
GNQ,fra,French
GNQ,por,Portuguese
GNQ,spa,Spanish
LBN,ara,Arabic
LBN,fra,French
MUS,eng,English
MUS,fra,French
MUS,mfe,Mauritian Creole
LIE,deu,German
CYM,eng,English
AIA,eng,English
GLP,fra,French
AUT,deu,German
NLD,nld,Dutch
SJM,nor,Norwegian
SGP,eng,English
SGP,zho,Chinese
SGP,msa,Malay
SGP,tam,Tamil
LBR,eng,English
